Protonation State,SCFE(g),Thermal Correction to Gibss Free Energy,SCFE(sol)
radical,-5528.74142096,0.025316,-5528.81513368
neutral,-5528.63955393,0.026980,-5528.64872106
anion,-5528.65920354,0.023508,-5528.93359622
