Protonation State,SCFE(g),Thermal Correction to Gibss Free Energy,SCFE(sol)
radical,-696.235445826,0.263229,-696.308492686
neutral,-696.160001975,0.265405,-696.166519127
anion,-696.134523495,0.260451,-696.400641584
