Protonation State,SCFE(g),Thermal Correction to Gibss Free Energy,SCFE(sol)
radical,-573.663795550,0.109478,-573.739868826
neutral,-573.574718638,0.109974,-573.586268285
anion,-573.559141085,0.107571,-573.843532871
