Protonation State,SCFE(g),Thermal Correction to Gibss Free Energy,SCFE(sol)
radical,-3941.24300263,0.136846,-3941.4795596635
neutral,-3941.26452701,0.140076,-3941.3477287469
anion,-3941.08421862,0.136756,-3941.5788427408
