Protonation State,SCFE(g),Thermal Correction to Gibss Free Energy,SCFE(sol)
radical,-803.560654124,0.166607,-803.6471933162
neutral,-803.500832309,0.169748,-803.5183961962
anion,-803.465998772,0.164493,-803.7417913438
