Protonation State,SCFE(g),Thermal Correction to Gibss Free Energy,SCFE(sol)
radical,-964.518299657,0.333413,-964.6043656805
neutral,-964.444358087,0.336231,-964.4587687978
anion,-964.444836333,0.331973,-964.7138328762
