Protonation State,SCFE(g),Thermal Correction to Gibss Free Energy,SCFE(sol)
radical,-763.277084572,0.130292,-763.3606307126
neutral,-763.197897462,0.131932,-763.2151451625
anion,-763.204648183,0.128510,-763.4792643503
