File Name,E_redox(Q/Q.-) (mV),E_redox(Q.-/Q=) (mV)
117,3660.7162899971013,2768.8497510007437
118,3730.474934371728,2825.728583356591
119,3793.5412324056024,2939.2045070942104
120,3676.1151774640853,2784.162309371538
121,3714.4754575944635,2744.364954448704
122,3682.388028008282,2730.0500404143113
123,3572.7125078455106,2756.793414950054
124,3562.329844776366,2707.0047785145425
125,3571.0884701420014,2662.018418575695
126,3575.6828613309194,2632.1768486268056
127,3466.931450957288,2676.622360624251
128,3498.2882506557244,2684.028300153347
129,3523.043939205396,2613.550318381351
130,3483.9168033991446,2622.2823859803543
131,3339.3379706170867,2467.962118826735
132,3420.414242258653,2427.3017233773858
133,3748.3065028835645,2940.570811972166
134,3661.430413803434,2797.1518218662213
135,3512.8797682385534,2667.4276898270728
136,3375.99207443347,2609.47783912235
137,3496.772754242224,2611.555810644367
138,3554.81695851496,2628.6359901133783
139,3369.0600496396887,2395.339409198267
140,3340.9289634840825,2387.225628850541
141,3388.7573560614096,2428.8020932896425
142,3408.564776558691,2486.5603552505518
143,3618.3238489007017,3121.684178731885
144,3644.5901059773673,2665.128464310845
145,3598.8125502863154,2999.4853574260565
146,3591.048157018931,2672.5975003159624
147,3665.1489263942667,2529.052798883991
148,3664.022572093346,2523.2887119806114
149,3549.149426526864,2703.5930816588166
150,3471.4585279832163,2796.4360164352524
151,3421.244344065448,2616.5119154170625
152,3486.3917646339323,2748.0996411560195
153,3514.7594734730674,2764.136464801409
154,3417.548079048948,2698.9214987864952
155,3306.0036672352194,2600.3632225943466
156,3317.344731182848,2738.0563679123643
157,3623.379327630158,2693.9088498993524
158,3632.7763517782023,2820.0893343164335
159,3686.7647706186804,2758.7950437755944
160,3550.9186476149903,2579.288588206007
161,3543.1156449114596,2606.874045463218
162,3439.4272942097086,2668.104306215025
163,3618.443960234207,2635.598842056465
164,3618.443960234207,2635.598842056465
165,3274.27473764154,2681.9725517143165
166,3266.7722295887947,2760.670920434543
167,3271.5093116504795,2767.07798569269
168,3205.4584261488003,2432.4026251548676
169,3056.38752307428,2697.565634720632
170,3578.4746355649463,2770.612343537152
171,3330.4160720921427,2702.3202813805083
172,3357.822441270692,2737.546521269607
173,3292.1553727168052,2538.9517948578687
174,3836.045531808722,2930.0330117831
175,3764.403408051292,2813.176792470409
176,3392.9451439464315,2847.4850912682164
177,3778.7482594384333,3131.9089699966503
178,3590.5539756530015,2631.102502387519
179,3608.647010322864,2896.7189287714477
180,3747.608574972049,2987.9084653576424
181,3353.1220285234394,2621.087732489168
182,3441.2461342514007,2673.3529274487382
