File Name,E_redox(Q/Q.-) (mV),E_redox(Q.-/Q=) (mV)
061,4298.704023635885,2982.1588491770563
062,4188.6681803555775,2874.5378856215725
063,4125.611974819647,2685.2836093044075
064,4150.615110513199,2905.674206823219
065,4220.742894317639,2788.815682756384
066,4604.040961554831,3263.6519689082506
067,4680.997276471615,3335.1672058323816
068,4641.950004463822,2991.8957556688674
069,4691.995622724998,3295.640206841513
070,4372.599500893722,3121.7365949609666
071,4218.202518241225,2975.7036778945026
072,4911.869486536788,3568.6965536449134
073,4619.728278391627,3314.4140483819388
074,4656.047392376425,3325.7043668452347
075,4550.44315964091,3140.4137019767168
076,4359.745947325587,3133.7211706005505
077,4456.028864615605,3217.799567091382
078,4545.969181833059,3192.2674800264576
079,4205.128529726784,2929.1202298586622
080,4270.008514070801,3092.507753086649
081,4201.411312365289,2960.448523492596
082,3966.528116806482,2846.9742106154918
083,4081.617691885994,2767.193302479399
084,4145.652126843117,2849.6657428652566
085,3953.620304839017,2696.298227630377
086,4125.264438071791,2864.910502727846
087,4041.315565139519,2777.586615868835
088,4381.753224830013,3187.5712985900072
089,3859.0103095120953,2684.2541963171616
090,3867.6309460309603,2541.0645118908897
091,3888.3770558792585,2644.393674163467
092,3861.2872847286053,2582.2968137267594
093,3881.796361028384,70882928.19059712
094,3881.796361028384,70882928.19059712
095,4298.598146287869,3047.568274691524
096,4412.873845383599,3130.8642237036925
097,4716.882921906113,3413.476443326103
098,4576.231790425032,3262.5576036586335
099,4282.418830398024,3031.6677065570993
100,3311.2761224217134,2229.253763265415
101,3916.8515318567793,3044.649668051474
102,4173.46382857829,2997.809757924976
103,4100.78396804271,2800.09476315658
104,3716.739670938827,2443.8438276891648
105,3690.2107422516538,2501.62861477086
106,3702.7848405747477,2502.5057559462475
107,3282.8520136970096,2382.835890334423
108,4162.8514135654095,2814.216178236629
109,4421.446754084825,3229.8601970377445
110,3908.290868011888,2514.9613783031646
111,4126.4749935709215,2844.422188302346
112,4458.764505621829,3198.997671204383
113,3326.0008288630265,2232.9975111799063
114,4114.263425166499,2717.2350854148103
115,4541.168429136161,3201.952495462593
