Protonation State,SCFE(g),Thermal Correction to Gibss Free Energy,SCFE(sol)
radical,-1544.91269379,0.575787,-1544.98991640
neutral,-1544.83786319,0.578817,-1544.85088642
anion,-1544.85642394,0.574693,-1545.08346948
