Protonation State,SCFE(g),Thermal Correction to Gibss Free Energy,SCFE(sol)
radical,-764.268819990,0.141400,-764.346521197
neutral,-764.203906828,0.144416,-764.216237781
anion,-764.173840864,0.139178,-764.437879041
