Protonation State,SCFE(g),Thermal Correction to Gibss Free Energy,SCFE(sol)
radical,-783.714793401,0.178899,-783.790181974
neutral,-783.653826837,0.183381,-783.663203095
anion,-783.624066957,0.176920,-783.883175226
