Protonation State,SCFE(g),Thermal Correction to Gibss Free Energy,SCFE(sol)
radical,-770.072985587,0.226752,-770.143807128
neutral,-769.978824019,0.228875,-769.991357695
anion,-770.024980169,0.224207,-770.266436670
