File Name,E_redox(Q/Q.-) (mV),E_redox(Q.-/Q=) (mV)
061,4288.658211619979,3109.3759601752727
062,4188.781815511465,2960.03334061682
063,4129.866899986746,2735.497191867908
064,4148.913206294888,2981.2533216654174
065,4224.186419683695,2894.868249327165
066,4597.640266351324,3347.4907631361957
067,4671.23766799,3408.6711246559307
068,4627.430579263214,3082.793730913232
069,4682.203921782109,3364.729279711133
070,4364.47588382593,3207.0813781373586
071,4214.7358255745385,3066.7901806655036
072,4893.984625613867,3629.76495075351
073,4601.045595874702,3376.106991222702
074,4641.339031484829,3397.415121757858
075,4548.84621304741,3243.3772377391206
076,4354.770620815222,3225.2886846947954
077,4445.608106379084,3303.640371086302
078,4537.605608765305,3287.1222014180735
079,4201.963392940675,3021.308893783768
080,4265.7984976613025,3187.3530486448444
081,4203.48949068868,3048.868021857149
082,3957.9673985389554,2963.74920831397
083,4098.02320054263,2881.2389367070386
084,4156.944782721872,2963.3449451431843
085,3968.1702660367223,2809.790464281146
086,4132.053600553384,2978.4955582453226
087,4058.377954168389,2897.554284988189
088,4391.588136550461,3276.4326627574305
089,3872.976304480704,2801.939907915504
090,3868.3182916516394,2671.465078001775
091,3902.3257229900732,2763.38028394336
092,3879.410841793387,2701.720375046848
093,3889.0099526283425,2701.720375046848
095,4285.958671222861,2701.720375046848
096,4417.20926563626,3139.4414943207657
097,4709.877485012519,3231.32965541893
098,4580.268052068967,3498.2599214535735
099,4282.610974248079,3359.1218891203284
100,3315.9986657435247,3096.8602018749293
101,3856.7714321759727,2335.3619134023397
102,4183.482748127968,3105.951457906199
103,4101.68253501914,3097.244571209766
104,3720.4349917407762,2907.93130726137
105,3690.2571748152077,2556.16843120701
106,3701.8513103936775,2624.318251458682
107,3281.531646160598,2627.547766351066
108,4160.532969033805,2502.8120437949374
109,4419.189542094579,2915.466375791492
110,3910.3512096378304,3314.0051539353567
111,4111.495286260035,2627.6392627747978
112,4436.247242702725,2933.171612565444
113,3342.4884434812075,3272.48997916862
114,4120.6868332489785,2348.155513343263
115,4546.913490226453,2821.3087578235445
