File Name,E_redox(Q/Q.-) (mV),E_redox(Q.-/Q=) (mV)
117,3722.5019728076036,2719.3444419084785
118,3761.6814894655167,2747.512551127968
119,3756.168193917806,2766.2204880184086
120,3714.8736881309496,2748.7473786863507
121,3783.8041680982024,2776.011271957289
122,3762.8801266162836,2763.1092558930054
123,3586.007676889405,2587.2030628147722
124,3594.919795846946,2577.1055039596945
125,3618.1606219987,2550.0552157265543
126,3624.0657807381763,2547.7186487836916
127,3468.1004745657347,2508.3886562222233
128,3497.4062958805907,2507.473555938369
129,3580.6221089950445,2525.410854853239
130,3532.470663975071,2529.9830093446185
131,3357.135680682904,2365.9549159197886
132,3495.3462998372233,2427.6056547669473
133,3772.800651804266,2816.0987596559994
134,3711.6544017830447,2734.2933656112637
135,3580.848639174443,2653.0950452213033
136,3434.925490604057,2579.7804376010604
137,3577.2810541803456,2540.6127032356953
138,3622.247117561929,2560.743521745825
139,3503.5997533879276,2432.933617332536
140,3482.3997396446766,2437.7801386476617
141,3516.7576056879725,2496.8845694578627
142,3537.3147635208115,2516.58529355613
143,3698.649909732101,3031.9726855680865
144,3737.34847492935,2635.4603035511295
145,3724.0067318307833,3052.3364560110513
146,3726.2502649355956,2698.15046896795
147,3806.3311997079163,2649.3285218367823
148,3805.966574558768,2639.515207332052
149,3621.0567252865385,2663.41257644034
150,3506.933488485758,2617.3593586900183
151,3510.0428430650377,2508.9696891199887
152,3553.812772684497,2673.3992239502886
153,3576.8685107583105,2684.6740322424284
154,3468.5522287998397,2563.060224787122
155,3394.42654790818,2518.522840856719
156,3336.922930351289,2551.686641170199
157,3599.850507471113,2522.138017594078
158,3672.1779877386302,2780.5826917515965
159,3709.4668957706826,2791.3592697110616
160,3624.6836570997148,2640.1486755056612
161,3619.857816024141,2666.9214132349603
162,3521.7159635222024,2640.643912647518
163,3654.8985651217154,2619.9740203414217
164,6255.795887358934,5064.91082553316
165,3354.643549412098,2553.690011470579
166,3313.6276825353893,2556.2201834876723
167,3323.972315744321,2582.6346362050945
168,3343.9362774392253,2372.568617516745
169,3119.5172794912232,2482.3289783317064
170,3577.1599115591657,2584.2740072112215
171,3356.283328579484,2573.896911473283
172,3351.89394924812,2557.825595372478
173,3312.8788132211466,2442.7996664352854
174,3923.3521996583036,2998.6234978575835
175,3848.351119081564,2882.917107632403
176,3500.1323314687515,2871.618707544623
177,3792.7280149272033,2954.0228759569472
178,3627.1880332485107,2546.3854268481473
179,3694.748121299193,2865.5342294275765
180,3827.6453628881986,2970.567742169916
181,3430.670723255641,2514.1568084199107
182,3490.7122134848337,2643.2403702560305
