Protonation State,SCFE(g),Thermal Correction to Gibss Free Energy,SCFE(sol)
radical,-1929.15069876,0.464069,-1929.25586607
neutral,-1929.07207068,0.466277,-1929.12656448
anion,-1929.14334016,0.464630,-1929.3814282704
