Protonation State,SCFE(g),Thermal Correction to Gibss Free Energy,SCFE(sol)
radical,-968.129830663,0.392219,-968.2154589839
neutral,-968.055713172,0.394687,-968.0767139829
anion,-968.056891591,0.390817,-968.3057022317
