File Name,E_redox(Q/Q.-) (mV),E_redox(Q.-/Q=) (mV)
292,4066.7551870717207,2995.1509902394055
293,4055.2998947715323,2992.18074015159
294,4043.9169914472614,3048.048192136035
295,3215.6158352365887,2212.0281963203292
296,4026.122660958279,3030.7701899120125
297,4202.466344352293,3236.8093428570105
298,4036.3671310984773,2833.857180003499
299,4049.537026916627,2918.981628908886
300,4129.0968035028645,2885.6946070682184
301,4303.195500731674,3471.8788863626896
302,3897.257727277184,3008.2823337462282
303,3902.0367330787158,2994.8239486864063
304,4092.8509465245825,3106.94950224317
305,4009.9985640083355,3030.7367559671898
306,4249.437424296939,3286.8231897388628
307,4180.841525981452,3437.673234990966
308,3997.5065770913698,2996.7047831739787
309,4083.000062028975,3190.4352168772116
310,4306.896832403508,3551.5031090877496
311,4018.5907760943305,2979.9655962457505
312,3902.7530500654434,3177.0307691301314
313,4254.905196112041,3267.867389388782
314,4151.04940900057,3166.5868245431234
315,4257.205267889811,3070.1950856969656
316,3627.3797471651587,2711.728355846321
