Protonation State,SCFE(g),Thermal Correction to Gibss Free Energy,SCFE(sol)
radical,-1389.33866740,0.166258,-1389.42166460
neutral,-1389.22967069,0.167889,-1389.24994982
anion,-1389.27772073,0.164147,-1389.54499910
