Protonation State,SCFE(g),Thermal Correction to Gibss Free Energy,SCFE(sol)
radical,-727.314382276,0.153186,-727.394316433
neutral,-727.230380092,0.155579,-727.241596834
anion,-727.225075879,0.151951,-727.495570606
