Protonation State,SCFE(g),Thermal Correction to Gibss Free Energy,SCFE(sol)
radical,-764.285988344,0.142465,-764.3696223081
neutral,-764.213111474,0.145629,-764.2273108632
anion,-764.208221568,0.139766,-764.4883503333
