Protonation State,SCFE(g),Thermal Correction to Gibss Free Energy,SCFE(sol)
radical,-767.670294477,0.190092,-767.7584242013
neutral,-767.606776429,0.192871,-767.6209804915
anion,-767.582963646,0.188561,-767.8651648937
