File Name,E_redox(Q/Q.-) (mV),E_redox(Q.-/Q=) (mV)
000,4665.369143198364,3283.080366999895
001,5113.308011571752,3788.0105545882893
002,5334.273301860339,4056.5162978772823
003,4404.058841885981,3042.7390322576875
004,4257.3186336563585,2935.763890589793
005,4305.132691582175,2975.3872159100483
006,4267.611892822331,2992.4812511423133
007,4130.596890423605,2856.8269536135535
008,4568.2434792245385,3248.4394810946706
009,4514.276235842525,3199.9353564751764
010,4564.718315923868,3245.241664095198
011,4565.863075627566,3234.747534574683
012,4571.282384968174,3260.75428737481
013,4514.689786067078,3235.395370061118
014,4372.641677682969,3057.4501877025077
015,4368.793249699881,3080.2776268898833
016,4297.084271645705,3055.021893040099
017,4279.368931486189,3016.8712179479994
018,3950.500718989873,2874.546048865316
019,4276.195060013247,3035.9362153758198
020,4248.309127158201,2964.9164877113644
021,4464.697283367009,3191.216189541895
022,4320.876062728153,3154.4704096985747
023,4396.200271925309,3188.8123846107173
024,3829.3199991063098,2826.257706176667
025,3686.274287229458,2809.34018759878
026,4670.313759557651,3371.877611584418
027,4526.743422823103,3280.9379221424333
028,4827.752232974058,3396.557482589364
029,4760.216444177702,3498.043628004091
030,4737.846691246846,3554.2843363928923
031,4601.7337551017945,3471.1865366715483
032,4117.454194551453,2753.575451057498
033,4080.9880060213627,2702.7950587018345
034,3990.3615948837382,2656.8880447470115
035,4818.720767309826,3442.092905418341
036,3971.1241351974,1072870.1828436062
037,4000.918227688242,2655.6976524747147
038,4008.7756003679474,2680.8518354994408
039,4015.0478060197684,2682.857464304393
040,3885.458666926657,2531.342163198088
041,3828.514558491823,2575.731384155236
042,4024.362427600198,2686.7816744625197
043,3703.3444313315317,2442.8270949486196
044,4067.4339640035014,2787.6331816254815
045,3920.701919026904,2617.8437387133026
046,3906.990163026439,2592.4152704995568
047,3980.4264302743927,2628.1409162347877
048,3928.927427051557,2591.0763887120056
049,3857.893849068432,2603.272827895987
050,3772.5769787598692,2459.6826272382204
051,4184.698283212404,2217.817268201697
052,4143.170281260171,3653.274622652018
053,3745.6402685423286,2450.462100707072
054,3673.3520807247023,2366.684519961349
055,3777.400370870982,2507.7195418580736
056,4350.515597688927,3113.5888010708304
057,4252.819159302383,2915.733398405477
058,4233.540012619691,3085.2932363158084
059,4227.057195127074,3058.248934470488
060,4501.357403485488,3178.092187505526
