File Name,E_redox(Q/Q.-) (mV),E_redox(Q.-/Q=) (mV)
000,4660.158173605722,3525.6216567068973
001,5173.709234450287,4035.4130730643283
002,5467.35293494254,4118.125855854729
003,4331.873546386243,3089.492626899454
004,4199.335615673861,2878.4774835049525
005,4234.7472756243915,2993.7758146342712
006,4322.455357675087,3154.7392962580507
007,4189.655359416382,3053.290805215967
008,4498.240745519998,3065.9575536855427
009,4417.707615694091,3059.109049826361
010,4483.705284981015,3058.4159218969453
011,4489.027799931275,3070.6160944164926
012,4507.53374807544,3069.173928468077
013,4671.401975171649,3559.6653492000523
014,4276.714237255614,2880.3575588102944
015,4277.354333987127,2889.689214358552
016,4422.847812653034,3306.002924361991
017,4169.660774648163,2882.3589889796813
018,3927.5318188457168,2759.737831066767
019,4205.494090920515,2855.786634518856
020,4176.13195678084,2812.574154165303
021,4289.499622250902,2830.9416182406876
022,4123.294904436002,2797.178232697152
023,4205.782095810785,2820.2307571982496
024,3636.8895112217624,2574.0351071307095
025,3409.2245766662636,2449.4776699390914
026,4583.243801461627,3062.1641922589765
027,4412.228379943004,2862.6126622518377
028,4677.613832630991,2728.2933063705955
029,4683.614640161629,3081.7103098522175
030,4670.2040862953845,3125.322471092733
031,4837.516189685816,3833.2048488732576
032,4090.9885827515886,3075.7476464685537
033,4053.2049845031243,2890.8338597878624
034,3961.6986757335067,2819.7380207010897
035,4723.829605174206,3269.3268206039343
036,3934.0135941645844,1072924.8849019047
037,3966.6051615557303,2936.0896477825154
038,3977.383524548252,2966.818405147431
039,3991.080847927182,2971.578513017081
040,3817.098019862846,2639.9216827470086
041,3794.7207240274056,2375.0313066660915
042,3899.5214481032704,2699.0200591399353
043,3733.349685326374,2580.3347195329966
044,3941.1103451718805,2738.077845421485
045,3920.5584526350613,2706.034130035777
046,3913.9418585287776,2730.3296779724733
047,3949.362405527864,2721.138751393841
048,3841.3165421016984,2367.915995153441
049,3855.0790707939464,2836.4653301014105
050,3704.492750218361,2290.1040002459195
051,4052.940606779728,2310.6787553197046
052,4013.87901098175,3402.4813324485185
053,3743.679415163001,2740.324328182099
054,3694.1593931784287,2566.692508972534
055,3743.6620192788455,2442.1547588232247
056,4222.513282758536,3201.1484044861577
057,4133.471616880717,2863.9082978503807
058,4125.783506459605,3107.1055835807374
059,4117.539620236533,3097.6060099719953
060,4373.810957072389,2951.1043699921993
