Protonation State,SCFE(g),Thermal Correction to Gibss Free Energy,SCFE(sol)
radical,-1158.60684987,0.091069,-1158.8824940758
neutral,-1158.63756751,0.093257,-1158.7356481601
anion,-1158.42768483,0.092417,-1158.9849219665
