Protonation State,SCFE(g),Thermal Correction to Gibss Free Energy,SCFE(sol)
radical,-990.033965055,0.150628,-990.1238973237
neutral,-989.958544127,0.154306,-989.9907377100
anion,-989.959049714,0.145403,-990.2256058667
