Protonation State,SCFE(g),Thermal Correction to Gibss Free Energy,SCFE(sol)
radical,-2015.44842035,0.202876,-2015.5312263358
neutral,-2015.34816506,0.204981,-2015.3853209786
anion,-2015.40563696,0.201105,-2015.6385004480
