File Name,E_redox(Q/Q.-) (mV),E_redox(Q.-/Q=) (mV)
117,3703.4356148401907,2685.9406964780155
118,3745.017031641678,2721.9283825304633
119,3745.341112652802,2743.4128855220542
120,3700.7226948767207,2683.7978434453744
121,3809.2958198734673,2717.0508408699316
122,3743.650231544807,2736.076110482246
123,3558.6106410265693,2539.7648681259516
124,3560.533195162532,2589.5643371948763
125,3589.0491132322286,2583.576130998503
126,3600.7969002150994,2587.33998771874
127,3488.649142619017,2433.6327452426704
128,3513.951162096653,2461.0585429571684
129,3565.6743281567783,2568.4586906156305
130,3502.493224901235,2547.6351931593476
131,3361.4676451593064,2378.5342387230858
132,3480.622464142611,2487.210411146487
133,3765.0615646122874,2780.4875082619797
134,3709.5185147240086,2739.0239143550434
135,3589.131616472052,2636.2518122338747
136,3418.674583007863,2549.0314898018596
137,3544.0767913666623,2559.3966943988844
138,3606.8106029606874,2593.9647097037214
139,3446.5124887787806,2468.7895485339436
140,3474.8152916128515,2476.6662953238692
141,3489.9915346008215,2529.975118206318
142,3514.373392577666,2535.907596613856
143,3698.4058013523327,3003.6165767145653
144,3720.0260319808444,2680.6383937310957
145,3739.7275179836347,3045.3462653500465
146,3752.2322558928595,2677.2378560445964
147,3766.1609366484718,2752.558799951679
148,3777.2830921842246,2735.1084932909143
149,3591.52072753603,2631.4401207836777
150,3512.0175059379376,2597.2972475283186
151,3498.9257487524087,2530.572668077756
152,3559.0690891257414,2635.446371607014
153,3580.9803395951135,2632.0741331805484
154,3455.9369877005583,2548.002539393868
155,3409.954735792411,2519.8733416673663
156,3339.877536928237,2486.3187665993646
157,3564.2957457704524,2614.4700853230624
158,3674.4000242906523,2759.4232765736456
159,3707.5275797816153,2771.6499197805156
160,3607.531036955988,2642.1984674928012
161,3636.548940472258,2648.9976381091333
162,3514.304821278864,2611.650498893415
163,3606.9514462232614,2717.482404669751
164,3606.9514462232614,2717.482404669751
165,3378.8192037027384,2543.662384460083
166,3267.9541103093866,2543.037052322767
167,3358.239079929152,2567.7991000440984
168,3336.6152846852983,2457.502332094361
169,3110.0808077999927,2457.1839109383377
170,3544.130287859924,2600.082902047189
171,3364.8257611647523,2523.6140691835903
172,3357.5768499069736,2495.4008988324003
173,3313.088880844867,2478.8232707775305
174,3911.8671604668034,2998.1738388570507
175,3840.5092021534724,2870.4868729825243
176,3530.275130771686,2899.906544421517
177,3780.058950801941,2928.655033476427
178,3615.2991580988864,2591.142402194888
179,3679.206137514288,2818.4371497300826
180,3829.756297615095,2969.9462467626654
181,3408.78393531933,2532.1125018576704
182,3483.9707298227195,2628.668425431841
