Protonation State,SCFE(g),Thermal Correction to Gibss Free Energy,SCFE(sol)
radical,-725.148972212,0.127264,-725.2429292676
neutral,-725.076472144,0.130123,-725.0953757067
anion,-725.057224589,0.125842,-725.3556878809
