Protonation State,SCFE(g),Thermal Correction to Gibss Free Energy,SCFE(sol)
radical,-649.894782011,0.122522,-649.9961300652
neutral,-649.829806513,0.125585,-649.8522844166
anion,-649.791680204,0.121294,-650.1050311773
