Protonation State,SCFE(g),Thermal Correction to Gibss Free Energy,SCFE(sol)
radical,-770.028174568,0.229971,-809.4625296723
neutral,-769.952397643,0.233454,-809.3154938710
anion,-809.293360108,0.253546,-809.5621903357
