Protonation State,SCFE(g),Thermal Correction to Gibss Free Energy,SCFE(sol)
radical,-836.150316086,0.141355,-7457.9464786735
neutral,-836.066247360,0.143144,-7457.7951831781
anion,-836.059061244,0.139311,-7458.0538860705
