Protonation State,SCFE(g),Thermal Correction to Gibss Free Energy,SCFE(sol)
radical,-2218.82343411,1.059380,-2218.9291487093
neutral,-2218.75163775,1.059921,-2218.7902334551
anion,-2218.79794694,1.060656,-2219.0177072773
