Protonation State,SCFE(g),Thermal Correction to Gibss Free Energy,SCFE(sol)
radical,-696.233425530,0.263285,-696.3093827768
neutral,-696.157653336,0.265263,-696.1675231375
anion,-696.132449979,0.260533,-696.4069705850
