Protonation State,SCFE(g),Thermal Correction to Gibss Free Energy,SCFE(sol)
radical,-5757.83955027,0.082341,-5757.9070953030
neutral,-5757.74403637,0.083614,-5757.7538055144
anion,-5757.76345887,0.081142,-5758.0095399822
