Protonation State,SCFE(g),Thermal Correction to Gibss Free Energy,SCFE(sol)
radical,-575.624936279,0.129398,-575.7071724840
neutral,-575.581008613,0.133571,-575.5925251986
anion,-575.512501963,0.128925,-575.7814128643
