Protonation State,SCFE(g),Thermal Correction to Gibss Free Energy,SCFE(sol)
radical,-650.861601107,0.131881,-650.9420698645
neutral,-650.832679073,0.137553,-650.8445443040
anion,-650.750348368,0.133062,-651.0010296621
