Protonation State,SCFE(g),Thermal Correction to Gibss Free Energy,SCFE(sol)
radical,-610.569335725,0.097118,-610.6649492855
neutral,-610.501246360,0.100583,-610.5242853401
anion,-610.466319324,0.095181,-610.7633754957
