Protonation State,SCFE(g),Thermal Correction to Gibss Free Energy,SCFE(sol)
radical,-1158.61269962,0.091438,-1158.8793335833
neutral,-1158.63914978,0.093498,-1158.7282820890
anion,-1158.42912672,0.092259,-1158.9872803796
