Protonation State,SCFE(g),Thermal Correction to Gibss Free Energy,SCFE(sol)
radical,-2220.12841813,0.005192,-2220.2048177273
neutral,-2220.01507927,0.006931,-2220.0269840974
anion,-2220.06404506,0.003721,-2220.3356953672
