Protonation State,SCFE(g),Thermal Correction to Gibss Free Energy,SCFE(sol)
radical,-939.767120193,0.267639,-939.8480954796
neutral,-939.710716223,0.272739,-939.7271570207
anion,-939.681261768,0.265714,-939.9523736875
