Protonation State,SCFE(g),Thermal Correction to Gibss Free Energy,SCFE(sol)
radical,-1029.40127524,0.178720,-1029.4767269854
neutral,-1029.31719589,0.182340,-1029.3323514514
anion,-1029.34211945,0.174759,-1029.5978733337
