Protonation State,SCFE(g),Thermal Correction to Gibss Free Energy,SCFE(sol)
radical,-1305.34522311,0.350357,-1305.4342893855
neutral,-1305.26807214,0.353466,-1305.2978917108
anion,-1305.27654982,0.349544,-1305.5294916761
