Protonation State,SCFE(g),Thermal Correction to Gibss Free Energy,SCFE(sol)
radical,-5757.83619186,0.082258,-5757.9199072861
neutral,-5757.74079152,0.084071,-5757.7540694185
anion,-5757.75959667,0.080755,-5758.0489909152
