Protonation State,SCFE(g),Thermal Correction to Gibss Free Energy,SCFE(sol)
radical,-839.518199748,0.143958,-839.598276136
neutral,-839.454121709,0.147093,-839.469788767
anion,-839.423852859,0.141683,-839.688234055
