Protonation State,SCFE(g),Thermal Correction to Gibss Free Energy,SCFE(sol)
radical,-1010.83591070,0.467445,-1010.9303981135
neutral,-1010.76410671,0.470621,-1010.7785232629
anion,0,0,0
