Protonation State,SCFE(g),Thermal Correction to Gibss Free Energy,SCFE(sol)
radical,-1168.30246936,0.177705,-1168.37861393
neutral,-1168.23167877,0.179301,-1168.24280913
anion,-1168.21815753,0.176008,-1168.48003775
