File Name,E_redox(Q/Q.-) (mV),E_redox(Q.-/Q=) (mV)
000,4838.391415278787,3733.7800790557717
001,5252.183018566693,4143.686881630573
002,5453.92132805909,4339.644211752162
003,4607.006645663186,3531.5116399670774
004,4464.7887661700015,3370.1154000018173
005,4513.3424226792185,3466.247204634937
006,4490.557353495755,3413.828121536756
007,4359.643204671879,3294.8717022023197
008,4753.273295604488,3674.2262178231995
009,4694.600153778745,3621.5596304439446
010,4740.91487851219,3655.622492968237
011,4745.56385734153,3658.2261723344204
012,4753.53110734557,3682.5563188526066
013,4755.952237471026,3710.5075604108324
014,4551.9492601507345,3461.51736883155
015,4549.404435107006,3482.925442025699
016,4542.910235334786,3506.1086030139454
017,4442.365456818341,3445.647026492161
018,4186.323474651036,3209.6528616323017
019,4476.336607953745,3438.700566331351
020,4417.1011596902135,3322.753501770728
021,4603.8188939634865,3367.015327008519
022,4495.640576357348,3526.031762042812
023,4563.656726102864,3538.5710903821164
024,3975.4964642055297,3210.9814005793323
025,3860.943380613171,3206.9605865402436
026,4829.4239250057,3752.7445841582994
027,4700.482213259417,3634.1626347918955
028,4951.025950174644,3776.504995716773
029,4909.855686316576,3847.427782079927
030,4896.453502544946,3913.402689517561
031,4867.704676034122,3915.015151754644
032,4359.981252993711,3341.1200896470946
033,4310.377666544164,3196.9985675489147
034,4222.900716026655,3110.531811015648
035,4946.141385397126,3756.065358746391
036,4217.679207681285,1073251.6439048431
037,4223.417033403994,3207.516452131431
038,4247.782690052264,3246.210840469902
039,4255.754084281608,3236.0310586411333
040,4097.524717148182,3024.6388765116435
041,4069.513432117833,-60378866.93262744
042,4202.605731841462,3136.2214651243808
043,3928.4873190510916,2871.009666542123
044,4282.660748301129,3284.1477771968657
045,4147.562188480805,3036.405509716771
046,4124.552874809856,2996.3606858748158
047,4193.564867557448,3034.5667214072146
048,4219.0626689745195,-27495537.80171282
049,4114.254736747802,3113.1430141700494
050,3987.2681531984776,2827.2532634247173
051,4219.253536632719,2753.7280766126205
052,4170.767866401787,3888.5391535312947
053,3971.6310376258457,3019.314260880136
054,3845.9196788449594,2759.33638966439
055,3983.354495406085,2817.797901973122
056,4564.385263497891,3595.897290567971
057,4380.218359743142,3331.31903906557
058,4477.350554317223,3523.655758439743
059,4467.226560133682,3528.5007641096045
060,4672.978157168579,3520.890359665414
