Protonation State,SCFE(g),Thermal Correction to Gibss Free Energy,SCFE(sol)
radical,-590.714006653,0.111140,-590.8007322872
neutral,-590.649951380,0.112458,-590.6704689416
anion,-590.610141624,0.109367,-590.9013446011
