Protonation State,SCFE(g),Thermal Correction to Gibss Free Energy,SCFE(sol)
radical,-2019.80065180,0.258531,-2019.8866161331
neutral,-2019.68644555,0.259989,-2019.7175045964
anion,-2019.75649874,0.258246,-2020.0111863784
