File Name,E_redox(Q/Q.-) (mV),E_redox(Q.-/Q=) (mV)
317,4867.825489415757,3616.6999989518054
318,4846.551244521699,3671.4024789828113
319,4114.1134934800175,2812.683745799029
320,4130.344727642269,2969.9862466867094
321,4243.397027716528,3039.371582945809
322,3858.5892218832273,2694.971128135374
323,3739.8653680584857,2753.1821729019584
324,3613.9385076500084,2563.0994355960975
325,3894.8847168649318,2727.1147943469514
326,4092.3140523130187,2902.1849073974454
327,4094.844387587191,2937.9260633131134
328,3729.545496704791,2630.9147884611098
329,3839.8179653847333,2760.0315203003897
330,3776.5979506362014,2622.613335005885
331,3946.936263242407,2760.5025125966336
332,4194.620168936885,3370.354784571068
333,3589.620050915945,3013.749319177835
334,3722.1436061455324,3089.8147514489265
335,2783.382196586043,1788.674962397568
336,2919.5014728126816,1851.3998488402328
337,2815.8846920420397,1869.9783982279284
338,3367.15190636394,2441.750960955532
339,3511.841968860064,2501.104860678427
340,2967.6232308132044,1948.9264644281845
341,2758.4517954447974,1704.3887567798536
342,2757.0390634509654,1715.1060967655114
343,3210.414166301439,2126.443783664319
344,2733.097286270229,1757.1322746262351
345,2814.14194708582,1920.4973761212698
346,3359.8771176000437,2280.1770669097723
347,4966.706279271875,3973.293301104869
348,3530.5854158914162,2378.5833270648495
349,3312.6144055680084,2230.8494608837927
