Protonation State,SCFE(g),Thermal Correction to Gibss Free Energy,SCFE(sol)
radical,-973.833138529,0.128118,-973.9207542391
neutral,-973.801519927,0.132960,-973.8138251419
anion,-973.724141168,0.128435,-973.9977481187
